seq_id,label,prompt_tokens,target_output_tokens,actual_output_tokens,add_time_s,first_token_time_s,finish_time_s,time_to_first_token_s,end_to_end_latency_s,preemptions
11,initial_short_0,16,64,64,0.002588033676147461,52.19558522105217,54.43061524629593,52.19299718737602,54.42802721261978,0
12,initial_short_1,16,64,64,0.00270862877368927,52.19558522105217,54.43061524629593,52.19287659227848,54.42790661752224,0
13,initial_short_2,16,64,64,0.0027906671166419983,52.19558522105217,54.43061524629593,52.19279455393553,54.42782457917929,0
14,initial_short_3,16,64,64,0.00290796160697937,52.19558522105217,54.43061524629593,52.19267725944519,54.42770728468895,0
15,long_0,1024,16,16,52.24801429361105,52.745598651468754,53.24674382805824,0.49758435785770416,0.9987295344471931,0
16,late_short_0,16,64,64,52.25051897019148,52.81125903874636,54.70056255161762,0.5607400685548782,2.4500435814261436,0
17,late_short_1,16,64,64,52.25060348957777,52.81125903874636,54.70056255161762,0.5606555491685867,2.449959062039852,0
18,late_short_2,16,64,64,52.25067648291588,52.81125903874636,54.70056255161762,0.5605825558304787,2.449886068701744,0
19,late_short_3,16,64,64,52.25074477493763,52.81125903874636,87.76529594510794,0.5605142638087273,35.51455117017031,0
