seq_id,label,prompt_tokens,target_output_tokens,actual_output_tokens,add_time_s,first_token_time_s,finish_time_s,time_to_first_token_s,end_to_end_latency_s,preemptions
1,initial_short_0,16,64,64,0.004442736506462097,25.678531236946583,27.952685676515102,25.67408850044012,27.94824294000864,0
2,initial_short_1,16,64,64,0.004567652940750122,25.678531236946583,27.952685676515102,25.673963584005833,27.948118023574352,0
3,initial_short_2,16,64,64,0.004658997058868408,25.678531236946583,27.952685676515102,25.673872239887714,27.948026679456234,0
4,initial_short_3,16,64,64,0.004739776253700256,25.678531236946583,27.952685676515102,25.673791460692883,27.947945900261402,0
5,long_0,1024,16,16,25.716125678271055,26.208377365022898,26.655894864350557,0.4922516867518425,0.9397691860795021,0
6,late_short_0,16,64,64,25.71885758638382,26.23813558369875,27.980697203427553,0.51927799731493,2.2618396170437336,0
7,late_short_1,16,64,64,25.71896443516016,26.23813558369875,27.980697203427553,0.5191711485385895,2.261732768267393,0
8,late_short_2,16,64,64,25.719054222106934,26.23813558369875,27.980697203427553,0.519081361591816,2.2616429813206196,0
9,late_short_3,16,64,64,25.71913994476199,26.23813558369875,44.95187287405133,0.518995638936758,19.23273292928934,0
