seq_id,label,prompt_tokens,target_output_tokens,actual_output_tokens,add_time_s,first_token_time_s,finish_time_s,time_to_first_token_s,end_to_end_latency_s,preemptions
1,initial_short_0,16,64,64,0.005398683249950409,48.971848636865616,51.70858331769705,48.966449953615665,51.7031846344471,0
2,initial_short_1,16,64,64,0.005506731569766998,48.971848636865616,51.70858331769705,48.96634190529585,51.70307658612728,0
3,initial_short_2,16,64,64,0.005586899816989899,48.971848636865616,51.70858331769705,48.966261737048626,51.70299641788006,0
4,initial_short_3,16,64,64,0.00565868616104126,48.971848636865616,51.70858331769705,48.966189950704575,51.70292463153601,0
5,long_0,1024,16,16,49.08617979288101,49.79324493557215,50.262122705578804,0.7070651426911354,1.175942912697792,0
6,late_short_0,16,64,64,49.08921681344509,49.82489176094532,51.73860730230808,0.7356749475002289,2.6493904888629913,0
7,late_short_1,16,64,64,49.08931392431259,49.82489176094532,51.73860730230808,0.7355778366327286,2.649293377995491,0
8,late_short_2,16,64,64,49.089392960071564,49.82489176094532,51.73860730230808,0.7354988008737564,2.649214342236519,0
9,late_short_3,16,64,64,49.08947046846151,49.82489176094532,96.35861279070377,0.7354212924838066,47.26914232224226,0
