seq_id,label,prompt_tokens,target_output_tokens,actual_output_tokens,add_time_s,first_token_time_s,finish_time_s,time_to_first_token_s,end_to_end_latency_s,preemptions
1,initial_short_0,16,64,64,0.005692481994628906,41.43357139080763,44.96430856734514,41.427878908813,44.95861608535051,0
2,initial_short_1,16,64,64,0.005804337561130524,41.43357139080763,44.96430856734514,41.4277670532465,44.95850422978401,0
3,initial_short_2,16,64,64,0.005885086953639984,41.43357139080763,44.96430856734514,41.42768630385399,44.9584234803915,0
4,initial_short_3,16,64,64,0.005957119166851044,41.43357139080763,44.96430856734514,41.42761427164078,44.95835144817829,0
5,long_0,1024,16,16,41.59371214359999,42.414710715413094,43.06861560791731,0.8209985718131065,1.4749034643173218,0
6,late_short_0,16,64,64,41.59683096408844,42.45538026839495,45.0055078715086,0.8585493043065071,3.4086769074201584,0
7,late_short_1,16,64,64,41.59692957252264,42.45538026839495,45.0055078715086,0.8584506958723068,3.408578298985958,0
8,late_short_2,16,64,64,41.59700878709555,42.45538026839495,45.0055078715086,0.8583714812994003,3.4084990844130516,0
9,late_short_3,16,64,64,41.59708435088396,42.45538026839495,75.53530924022198,0.8582959175109863,33.93822488933802,0
