seq_id,label,prompt_tokens,target_output_tokens,actual_output_tokens,add_time_s,first_token_time_s,finish_time_s,time_to_first_token_s,end_to_end_latency_s,preemptions
11,initial_short_0,16,64,64,0.003155261278152466,23.598986349999905,25.634614184498787,23.595831088721752,25.631458923220634,0
12,initial_short_1,16,64,64,0.003292858600616455,23.598986349999905,25.634614184498787,23.595693491399288,25.63132132589817,0
13,initial_short_2,16,64,64,0.003370709717273712,23.598986349999905,25.634614184498787,23.59561564028263,25.631243474781513,0
14,initial_short_3,16,64,64,0.0034456923604011536,23.598986349999905,25.634614184498787,23.595540657639503,25.631168492138386,0
15,long_0,1024,16,16,23.629419561475515,24.068302161991596,24.51806988939643,0.43888260051608086,0.8886503279209137,0
16,late_short_0,16,64,64,23.63238349556923,24.125979777425528,25.881682764738798,0.49359628185629845,2.249299269169569,0
17,late_short_1,16,64,64,23.63247736170888,24.125979777425528,25.881682764738798,0.4935024157166481,2.2492054030299187,0
18,late_short_2,16,64,64,23.632560774683952,24.125979777425528,25.881682764738798,0.49341900274157524,2.249121990054846,0
19,late_short_3,16,64,64,23.632639344781637,24.125979777425528,42.573454298079014,0.4933404326438904,18.940814953297377,0
