step,kind,scheduled_seq_ids,scheduled_labels,num_scheduled_seqs,prefill_tokens,decode_tokens,new_output_tokens,finished_seq_ids,step_latency_s,elapsed_s,waiting,running,used_kv_blocks,free_kv_blocks,phase
77,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,,0.0026458129286766052,40.37707392126322,0,4,4,667,main
78,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,,0.0026432648301124573,40.37975984811783,0,4,4,667,main
79,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,,0.0026463642716407776,40.382445849478245,0,4,4,667,main
80,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,,0.0026462003588676453,40.385132037103176,0,4,4,667,main
81,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,16 17 18,0.002649068832397461,40.387828305363655,0,1,1,670,main
82,decode,19,late_short_3,1,0,1,1,,0.003215901553630829,40.39107993990183,0,1,1,670,main
83,decode,19,late_short_3,1,0,1,1,,0.0024164170026779175,40.39352962374687,0,1,1,670,main
84,decode,19,late_short_3,1,0,1,1,,0.002417817711830139,40.39598882943392,0,1,1,670,main
85,decode,19,late_short_3,1,0,1,1,,0.002408742904663086,40.39843013882637,0,1,1,670,main
86,decode,19,late_short_3,1,0,1,1,,0.0024146288633346558,40.40087718516588,0,1,1,670,main
87,decode,19,late_short_3,1,0,1,1,,0.0024166926741600037,40.40332715213299,0,1,1,670,main
88,decode,19,late_short_3,1,0,1,1,,0.002407543361186981,40.40576730668545,0,1,1,670,main
89,decode,19,late_short_3,1,0,1,1,,0.0024130642414093018,40.408212676644325,0,1,1,670,main
90,decode,19,late_short_3,1,0,1,1,,0.0024080127477645874,40.41065304726362,0,1,1,670,main
91,decode,19,late_short_3,1,0,1,1,,0.0024089738726615906,40.41309528052807,0,1,1,670,main
92,decode,19,late_short_3,1,0,1,1,,0.002402275800704956,40.41553022712469,0,1,1,670,main
93,decode,19,late_short_3,1,0,1,1,,0.0024110451340675354,40.4179740101099,0,1,1,670,main
94,decode,19,late_short_3,1,0,1,1,,0.002413429319858551,40.4204276651144,0,1,1,670,main
95,decode,19,late_short_3,1,0,1,1,19,0.00291481614112854,40.42338020354509,0,0,0,671,main
