seq_id,label,prompt_tokens,target_output_tokens,actual_output_tokens,add_time_s,first_token_time_s,finish_time_s,time_to_first_token_s,end_to_end_latency_s,preemptions
1,initial_short_0,16,64,64,0.00655827671289444,37.2357419654727,38.369956612586975,37.229183688759804,38.36339833587408,0
2,initial_short_1,16,64,64,0.00665641576051712,37.2357419654727,38.369956612586975,37.22908554971218,38.36330019682646,0
3,initial_short_2,16,64,64,0.006737068295478821,37.2357419654727,38.369956612586975,37.22900489717722,38.363219544291496,0
4,initial_short_3,16,64,64,0.006808578968048096,37.2357419654727,38.369956612586975,37.22893338650465,38.36314803361893,0
5,long_0,1024,16,16,37.243681117892265,37.96493434160948,38.10049461573362,0.7212532237172127,0.8568134978413582,0
6,late_short_0,16,64,64,37.24613693356514,38.00343445688486,38.37574153393507,0.7572975233197212,1.1296046003699303,0
7,late_short_1,16,64,64,37.2462320625782,38.00343445688486,38.37574153393507,0.7572023943066597,1.1295094713568687,0
8,late_short_2,16,64,64,37.24630795419216,38.00343445688486,38.37574153393507,0.7571265026926994,1.1294335797429085,0
9,late_short_3,16,64,64,37.24638041108847,38.00343445688486,38.460606299340725,0.7570540457963943,1.2142258882522583,0
