seq_id,label,prompt_tokens,target_output_tokens,actual_output_tokens,add_time_s,first_token_time_s,finish_time_s,time_to_first_token_s,end_to_end_latency_s,preemptions
1,initial_short_0,16,64,64,0.0051958560943603516,46.12527135759592,47.14789950847626,46.12007550150156,47.1427036523819,0
2,initial_short_1,16,64,64,0.005296453833580017,46.12527135759592,47.14789950847626,46.11997490376234,47.14260305464268,0
3,initial_short_2,16,64,64,0.005373671650886536,46.12527135759592,47.14789950847626,46.119897685945034,47.14252583682537,0
4,initial_short_3,16,64,64,0.005444087088108063,46.12527135759592,47.14789950847626,46.11982727050781,47.14245542138815,0
5,long_0,1024,16,16,46.14082598686218,46.93857445567846,47.01890389621258,0.7977484688162804,0.8780779093503952,0
6,late_short_0,16,64,64,46.14611176401377,46.97190511226654,47.15068060159683,0.8257933482527733,1.004568837583065,0
7,late_short_1,16,64,64,46.14633205533028,46.97190511226654,47.15068060159683,0.825573056936264,1.0043485462665558,0
8,late_short_2,16,64,64,46.146521739661694,46.97190511226654,47.15068060159683,0.825383372604847,1.0041588619351387,0
9,late_short_3,16,64,64,46.14667720347643,46.97190511226654,47.18908217549324,0.8252279087901115,1.0424049720168114,0
