seq_id,label,prompt_tokens,target_output_tokens,actual_output_tokens,add_time_s,first_token_time_s,finish_time_s,time_to_first_token_s,end_to_end_latency_s,preemptions
1,initial_short_0,16,64,64,0.005321413278579712,44.01280190050602,46.86598566174507,44.00748048722744,46.86066424846649,0
2,initial_short_1,16,64,64,0.005438379943370819,44.01280190050602,46.86598566174507,44.00736352056265,46.8605472818017,0
3,initial_short_2,16,64,64,0.005518428981304169,44.01280190050602,46.86598566174507,44.007283471524715,46.86046723276377,0
4,initial_short_3,16,64,64,0.005589790642261505,44.01280190050602,46.86598566174507,44.00721210986376,46.86039587110281,0
5,long_0,1024,16,16,44.117152847349644,44.83580381423235,45.35024934262037,0.7186509668827057,1.233096495270729,0
6,late_short_0,16,64,64,44.120591312646866,44.872187219560146,46.894562028348446,0.7515959069132805,2.77397071570158,0
7,late_short_1,16,64,64,44.120731487870216,44.872187219560146,46.894562028348446,0.75145573168993,2.7738305404782295,0
8,late_short_2,16,64,64,44.1208159327507,44.872187219560146,46.894562028348446,0.7513712868094444,2.773746095597744,0
9,late_short_3,16,64,64,44.12089212983847,44.872187219560146,75.95031829178333,0.7512950897216797,31.829426161944866,0
